index,MATH
0,329.4486536597833
1,421.17922314535826
2,383.5078103709966
3,418.7776391590014
4,456.09482657536864
5,386.12879701610655
6,468.2590575572103
7,301.52990277763456
8,441.2964090006426
9,396.85611377377063
10,581.8621697714552
11,618.248614475131
12,617.1099792700261
13,532.9398346301168
14,440.6742422822863
15,524.9654868897051
16,384.59249917510897
17,578.4588802000508
18,482.10575536545366
19,540.6582781756297
20,466.7089638719335
21,399.5320313926786
22,501.35064555797726
23,494.1338177472353
24,523.8128581987694
25,555.0830019079149
26,434.7008985783905
27,559.6333299707621
28,621.4741539983079
29,491.2822073791176
30,615.3787841396406
31,542.7177538536489
32,434.1090337205678
33,580.497022850439
34,615.8840706991032
35,389.9054893674329
36,409.7063564155251
37,459.4412386203185
38,496.61550687998533
39,553.6225679237396
40,532.1990268630907
41,593.4505940470845
42,510.8497109077871
43,492.3088794564828
44,565.4728840524331
45,604.8532009962946
46,526.705064414069
47,441.1231239819899
48,357.08536833152175
49,553.9826247459278
50,485.2827126774937
51,555.3894778937101
52,332.97696232330054
53,411.5225824099034
54,365.3925518989563
55,342.7851045159623
56,349.72275125514716
57,374.88803141750395
58,510.5361792854965
59,462.6796451918781
60,432.5922513343394
61,441.215554532595
62,486.91131114121526
63,430.5166395958513
64,535.5325381495059
65,463.15616611391306
66,402.2372179282829
67,430.1496984316036
68,465.64998255390674
69,459.8014043495059
70,478.2905957410112
71,423.0922390334308
72,541.7549006352201
73,508.67754647228867
74,569.8559151422232
75,481.9035967858508
76,508.83500901516527
77,481.75848108623177
78,498.4168082177639
79,474.0695649124682
80,468.6096168635413
81,464.49830890260637
82,567.062850994058
83,501.34132060874254
84,582.5350279668346
85,595.4042189503089
86,534.9861527495086
87,544.9781117951497
88,448.3091685185209
89,392.2009276850149
90,396.45503003988415
91,400.3749682344496
92,343.4735879050568
93,369.60803509596735
94,403.1775970803574
95,461.1680912626907
96,558.9868340389803
97,567.4660135777667
98,429.22907582018524
99,535.3578671710566
100,401.3274568198249
101,387.3279089182615
102,475.0858801295981
103,475.71726639103144
104,354.6575469681993
105,414.1764921899885
106,520.8189759831876
107,360.0035303402692
108,411.5305444467813
109,488.7038831328973
110,380.0496005229652
111,471.44804321508855
112,417.4879998443648
113,578.2404586356133
114,526.4358234563842
115,460.3248639749363
116,345.92197862360626
117,396.96984624583274
118,409.25209769885987
119,500.2616582689807
120,424.13843940291554
121,397.28976082708687
122,370.3342836657539
123,393.12630796805024
124,404.8734108740464
125,453.5762777160853
126,467.7420339975506
127,362.05317771527916
128,509.88422014564276
129,395.2290949234739
130,496.9678853498772
131,449.15642310120165
132,560.0348264034837
133,466.5057356664911
134,554.4627816732973
135,474.6197115695104
136,515.7527898633853
137,438.26986367907375
138,509.26442771591246
139,462.0242203902453
140,411.4715547496453
141,497.1763708451763
142,525.7938534384593
143,565.0908190635964
144,638.4941243138164
145,549.2578147621825
146,494.49795163888484
147,556.3271322250366
148,499.08360792230815
149,560.3743293993175
150,531.5852137356997
151,542.1780878929421
152,542.6838730257004
153,558.8364706905559
154,484.6731951851398
155,442.88350908458233
156,349.15717461146414
157,340.9144824258983
158,372.0596439568326
159,508.7787512736395
160,434.2463633911684
161,396.9130100598559
162,469.5502672698349
163,382.0592512236908
164,510.22254429757595
165,364.20063260477036
166,287.9276849254966
167,458.90115205571055
168,401.6045267805457
169,442.2080936394632
170,500.5022147735581
171,437.7110504768789
172,490.9050435638055
173,430.278573513031
174,555.6336404066533
175,499.2893292726949
176,544.2437065187842
177,520.9406719626859
178,522.6787100369111
179,596.8874675836414
180,697.1831108313054
181,482.7579395743087
182,436.70979737956077
183,461.5740916589275
184,448.8879083804786
185,572.277491546236
186,483.7975767850876
187,435.8807293660939
188,573.217542055063
189,590.026410324499
190,550.0051191672683
191,653.6598114864901
192,475.56480591837317
193,410.33479501400143
194,395.2275243792683
195,539.8242628918961
196,595.0183955887333
197,531.1102173896506
198,480.0531134000048
199,571.748717003502
200,484.7091343589127
201,435.84456423670053
202,427.1132637830451
203,618.0151122324169
204,518.8477069111541
205,517.7706224257126
206,636.068261731416
207,570.7614891100675
208,486.279603227973
209,497.3196396352723
210,553.0953921675682
211,585.516832199879
212,624.9699619067833
213,525.9579091332853
214,610.0658246409148
215,470.0412740064785
216,615.9130071410909
217,412.5275238202885
218,490.91735654324293
219,555.6620170157403
220,582.2758136177436
221,503.709619470872
222,488.55748218484223
223,442.91479773819447
224,554.9706430519
225,436.42511750850827
226,587.123596793972
227,601.0793321961537
228,496.0056260097772
229,501.12875583488494
230,496.1071499073878
231,451.856672314927
232,412.99452195037156
233,390.88094278704375
234,386.8308333614841
235,465.648420246318
236,440.87332925759256
237,514.3547749593854
238,422.4185180189088
239,401.92107063904405
240,378.9879119209945
241,413.9439775859937
242,567.19868983794
243,384.2519828155637
244,553.7018379289657
245,583.0334468092769
246,486.70851162914187
247,469.9533625068143
248,574.6118145203218
249,640.8069309787825
250,527.9872098341584
251,563.9523832453415
252,507.19147284235805
253,553.522020467557
254,551.7320837322623
255,600.0975910313427
256,500.1862501204014
257,538.2351724673063
258,439.92929453309625
259,542.6290068179369
260,537.7149977954105
261,589.6812316272408
262,512.3963726228103
263,480.2857600841671
264,631.2568383030593
265,496.3692766427994
266,528.623040263541
267,520.6131078237668
268,471.3473699372262
269,486.4080667113885
270,491.84246664494276
271,440.9209810514003
272,445.2615158930421
273,486.37540318258107
274,523.4234929606318
275,531.7157635586336
276,514.7533537605777
277,546.932844074443
278,649.8744403375313
279,614.2363409306854
